Treatment	Relative Expression (compared to control)	Gene ID	baseMean	log2FoldChange	lfcSE	padj	-Log(P)	Gene Name	Protein	Uniprot SPID	Blast Evalue	Uniprot ID Protein Name	gene_ontology_biological_process
Moderate OA (pH 7.8)	Lower	GWK47_046474	16	-0.01	0.08	0.0119	1.92	Ada	Adenosine deaminase	P03958	8.36E-14	Adenosine deaminase (EC 3.5.4.4) (Adenosine aminohydrolase)	adenosine catabolic process [GO:0006154]; allantoin metabolic process [GO:0000255]; alpha-beta T cell differentiation [GO:0046632]; amide catabolic process [GO:0043605]; AMP catabolic process [GO:0006196]; AMP salvage [GO:0044209]; apoptotic process [GO:0006915]; B cell proliferation [GO:0042100]; calcium-mediated signaling [GO:0019722]; cell adhesion [GO:0007155]; dAMP catabolic process [GO:0046059]; dATP catabolic process [GO:0046061]; deoxyadenosine catabolic process [GO:0006157]; embryonic digestive tract development [GO:0048566]; germinal center B cell differentiation [GO:0002314]; germinal center formation [GO:0002467]; GMP salvage [GO:0032263]; hypoxanthine biosynthetic process [GO:0046101]; IMP salvage [GO:0032264]; in utero embryonic development [GO:0001701]; inhibition of non-skeletal tissue mineralization [GO:0140928]; inosine biosynthetic process [GO:0046103]; leukocyte migration [GO:0050900]; liver development [GO:0001889]; lung alveolus development [GO:0048286]; lung development [GO:0030324]; mature B cell apoptotic process [GO:0002901]; mucus secretion [GO:0070254]; negative regulation of adenosine receptor signaling pathway [GO:0060169]; negative regulation of apoptotic process [GO:0043066]; negative regulation of inflammatory response [GO:0050728]; negative regulation of leukocyte migration [GO:0002686]; negative regulation of mature B cell apoptotic process [GO:0002906]; negative regulation of mucus secretion [GO:0070256]; negative regulation of penile erection [GO:0060407]; negative regulation of thymocyte apoptotic process [GO:0070244]; penile erection [GO:0043084]; Peyer's patch development [GO:0048541]; placenta development [GO:0001890]; positive regulation of alpha-beta T cell differentiation [GO:0046638]; positive regulation of B cell proliferation [GO:0030890]; positive regulation of calcium-mediated signaling [GO:0050850]; positive regulation of germinal center formation [GO:0002636]; positive regulation of heart rate [GO:0010460]; positive regulation of smooth muscle contraction [GO:0045987]; positive regulation of T cell activation [GO:0050870]; positive regulation of T cell differentiation [GO:0045582]; positive regulation of T cell differentiation in thymus [GO:0033089]; positive regulation of T cell receptor signaling pathway [GO:0050862]; regulation of cell-cell adhesion mediated by integrin [GO:0033632]; regulation of T cell differentiation [GO:0045580]; response to hypoxia [GO:0001666]; response to purine-containing compound [GO:0014074]; smooth muscle contraction [GO:0006939]; T cell activation [GO:0042110]; T cell differentiation [GO:0030217]; T cell differentiation in thymus [GO:0033077]; T cell receptor signaling pathway [GO:0050852]; thymocyte apoptotic process [GO:0070242]; trophectodermal cell differentiation [GO:0001829]; xanthine biosynthetic process [GO:0046111]
Moderate OA (pH 7.8)	Lower	GWK47_042555	46	-0.04	0.10	0.0263	1.58		hypothetical protein				
Moderate OA (pH 7.8)	Lower	GWK47_044097	131	-0.05	0.10	0.0174	1.76		Protein ALP1-like	Q9M2U3	2.24E-17	Protein ALP1-like (EC 3.1.-.-)	
Moderate OA (pH 7.8)	Lower	GWK47_029136	18	-0.06	0.12	0.0084	2.07	foxi2-a	Forkhead box protein I2-A	Q63245	1.64E-27	Forkhead box protein D3 (HNF3/FH transcription factor genesis) (Hepatocyte nuclear factor 3 forkhead homolog 2) (HFH-2)	anatomical structure morphogenesis [GO:0009653]; cell differentiation [GO:0030154]; cellular response to leukemia inhibitory factor [GO:1990830]; embryonic placenta development [GO:0001892]; in utero embryonic development [GO:0001701]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of DNA-templated transcription [GO:0006355]; regulation of transcription by RNA polymerase II [GO:0006357]; trophectodermal cell differentiation [GO:0001829]
Moderate OA (pH 7.8)	Lower	GWK47_046958	3808	-0.06	0.12	0.0368	1.43	PRSS55	Serine protease 55	Q28661	3.76E-23	Vitamin K-dependent protein C (EC 3.4.21.69) (Anticoagulant protein C) (Autoprothrombin IIA) (Blood coagulation factor XIV) [Cleaved into: Vitamin K-dependent protein C light chain; Vitamin K-dependent protein C heavy chain; Activation peptide]	blood coagulation [GO:0007596]; negative regulation of apoptotic process [GO:0043066]; negative regulation of blood coagulation [GO:0030195]; negative regulation of coagulation [GO:0050819]; negative regulation of inflammatory response [GO:0050728]; positive regulation of establishment of endothelial barrier [GO:1903142]; proteolysis [GO:0006508]
Moderate OA (pH 7.8)	Lower	GWK47_053789	1546	-0.18	0.06	0.0375	1.43	Lrrfip2	Leucine-rich repeat flightless-interacting protein 2	B2GUE2	3.37E-15	Leucine-rich repeat flightless-interacting protein 2 (LRR FLII-interacting protein 2)	dorsal/ventral axis specification [GO:0009950]; regulation of DNA-templated transcription [GO:0006355]; Wnt signaling pathway [GO:0016055]
Moderate OA (pH 7.8)	Lower	GWK47_036151	1714	-0.19	0.06	0.0261	1.58	UBE2Q2	Ubiquitin-conjugating enzyme E2 Q1	Q8WVN8	9.10E-122	Ubiquitin-conjugating enzyme E2 Q2 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme Q2) (Ubiquitin carrier protein Q2) (Ubiquitin-protein ligase Q2)	protein K48-linked ubiquitination [GO:0070936]
Moderate OA (pH 7.8)	Lower	GWK47_032611	487	-0.23	0.08	0.0263	1.58	Kdm4B	putative lysine-specific demethylase 4B	Q9V6L0	6.71E-12	Probable lysine-specific demethylase 4B (EC 1.14.11.66) (Probable JmjC domain-containing histone demethylation protein 3B) (Probable [histone H3]-trimethyl-L-lysine(9) demethylase 4B)	chromatin remodeling [GO:0006338]; circadian behavior [GO:0048512]; negative regulation of DNA-templated transcription [GO:0045892]; regulation of gene expression [GO:0010468]
Moderate OA (pH 7.8)	Lower	GWK47_009521	1683	-0.23	0.08	0.0245	1.61		Protein dopey-1	Q8BL99	1.29E-132	Protein DOP1A	Golgi to endosome transport [GO:0006895]; protein transport [GO:0015031]
Moderate OA (pH 7.8)	Lower	GWK47_030223	1152	-0.23	0.09	0.0414	1.38	USP19	Ubiquitin carboxyl-terminal hydrolase 19	O94966	8.58E-181	Ubiquitin carboxyl-terminal hydrolase 19 (EC 3.4.19.12) (Deubiquitinating enzyme 19) (Ubiquitin thioesterase 19) (Ubiquitin-specific-processing protease 19) (Zinc finger MYND domain-containing protein 9)	ERAD pathway [GO:0036503]; negative regulation of skeletal muscle tissue development [GO:0048642]; positive regulation of cell cycle process [GO:0090068]; protein deubiquitination [GO:0016579]; protein stabilization [GO:0050821]; regulation of cellular response to hypoxia [GO:1900037]; regulation of ERAD pathway [GO:1904292]; regulation of protein stability [GO:0031647]; response to endoplasmic reticulum stress [GO:0034976]
Moderate OA (pH 7.8)	Lower	GWK47_011257	790	-0.25	0.09	0.0441	1.36	PLSCR2_1	Phospholipid scramblase 2	Q3ZBG9	1.85E-99	Phospholipid scramblase 2 (PL scramblase 2) (Ca(2+)-dependent phospholipid scramblase 2)	plasma membrane phospholipid scrambling [GO:0017121]
Moderate OA (pH 7.8)	Lower	GWK47_046961	823	-0.25	0.09	0.0375	1.43	DNAJC13_6	DnaJ subfamily C member 13	O75165	0	DnaJ homolog subfamily C member 13 (Required for receptor-mediated endocytosis 8) (RME-8)	endosome organization [GO:0007032]; osteoblast differentiation [GO:0001649]; protein transport [GO:0015031]; receptor-mediated endocytosis [GO:0006898]; regulation of early endosome to late endosome transport [GO:2000641]; regulation of early endosome to recycling endosome transport [GO:1902954]
Moderate OA (pH 7.8)	Lower	GWK47_010330	670	-0.26	0.09	0.0402	1.40	Tl_1	Protein toll	P08953	1.82E-28	Protein toll	antifungal innate immune response [GO:0061760]; cell adhesion [GO:0007155]; cell competition in a multicellular organism [GO:0035212]; defense response to Gram-positive bacterium [GO:0050830]; defense response to oomycetes [GO:0002229]; detection of virus [GO:0009597]; dorsal/ventral axis specification [GO:0009950]; heart development [GO:0007507]; innate immune response [GO:0045087]; larval somatic muscle development [GO:0007526]; negative regulation of cell growth [GO:0030308]; negative regulation of insulin receptor signaling pathway [GO:0046627]; negative regulation of multicellular organism growth [GO:0040015]; positive regulation of antifungal peptide production [GO:0002804]; positive regulation of antimicrobial peptide production [GO:0002225]; positive regulation of hemocyte proliferation [GO:0035208]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of embryonic pattern specification [GO:1902875]; response to tumor cell [GO:0002347]; response to wounding [GO:0009611]; signal transduction [GO:0007165]; synapse assembly [GO:0007416]; synaptic target inhibition [GO:0016201]; Toll signaling pathway [GO:0008063]
Moderate OA (pH 7.8)	Lower	GWK47_017997	459	-0.26	0.09	0.0320	1.49	DLG5	Disks large 5	E9Q9R9	8.71E-30	Disks large homolog 5	apical protein localization [GO:0045176]; epithelial to mesenchymal transition [GO:0001837]; epithelial tube branching involved in lung morphogenesis [GO:0060441]; establishment or maintenance of epithelial cell apical/basal polarity [GO:0045197]; glial cell differentiation [GO:0010001]; maintenance of cell polarity [GO:0030011]; metanephric collecting duct development [GO:0072205]; midbrain development [GO:0030901]; negative regulation of cell migration [GO:0030336]; negative regulation of hippo signaling [GO:0035331]; negative regulation of T cell proliferation [GO:0042130]; neuroepithelial cell differentiation [GO:0060563]; polarized epithelial cell differentiation [GO:0030859]; positive regulation of dendritic spine development [GO:0060999]; positive regulation of hippo signaling [GO:0035332]; positive regulation of smoothened signaling pathway [GO:0045880]; positive regulation of synapse assembly [GO:0051965]; postsynapse organization [GO:0099173]; protein localization to adherens junction [GO:0071896]; protein-containing complex assembly [GO:0065003]; regulation of apoptotic process [GO:0042981]; zonula adherens assembly [GO:0045186]
Moderate OA (pH 7.8)	Lower	GWK47_052180	391	-0.26	0.09	0.0375	1.43		hypothetical protein				
Moderate OA (pH 7.8)	Lower	GWK47_007365	299	-0.27	0.10	0.0458	1.34	RSPRY1_1	RING finger and SPRY domain-containing protein 1	Q96DX4	5.44E-107	RING finger and SPRY domain-containing protein 1	proteolysis involved in protein catabolic process [GO:0051603]
Moderate OA (pH 7.8)	Lower	GWK47_043930	714	-0.27	0.10	0.0441	1.36	Diap1	Death-associated inhibitor of apoptosis 1	Q24306	7.74E-28	Death-associated inhibitor of apoptosis 1 (EC 2.3.2.27) (Apoptosis 1 inhibitor) (E3 ubiquitin-protein ligase th) (Inhibitor of apoptosis 1) (Protein thread) (RING-type E3 ubiquitin transferase Diap1)	antennal morphogenesis [GO:0048800]; apoptotic process [GO:0006915]; border follicle cell migration [GO:0007298]; chaeta development [GO:0022416]; negative regulation of apoptotic process [GO:0043066]; negative regulation of compound eye retinal cell programmed cell death [GO:0046673]; negative regulation of JNK cascade [GO:0046329]; positive regulation of border follicle cell migration [GO:1903688]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of protein ubiquitination [GO:0031398]; positive regulation of Toll signaling pathway [GO:0045752]; protein autoubiquitination [GO:0051865]; protein K48-linked ubiquitination [GO:0070936]; protein neddylation [GO:0045116]; protein polyubiquitination [GO:0000209]; regulation of cell cycle [GO:0051726]; sensory organ precursor cell division [GO:0045035]; spermatid nucleus differentiation [GO:0007289]; spermatogenesis [GO:0007283]; Wnt signaling pathway [GO:0016055]
Moderate OA (pH 7.8)	Lower	GWK47_001714	1943	-0.28	0.09	0.0245	1.61		hypothetical protein				
Moderate OA (pH 7.8)	Lower	GWK47_023626	321	-0.28	0.10	0.0392	1.41		hypothetical protein				
Moderate OA (pH 7.8)	Lower	GWK47_013036	5144	-0.28	0.11	0.0438	1.36		putative Ras GTPase-activating protein	Q8T498	1.56E-194	Ras GTPase-activating protein raskol	negative regulation of Ras protein signal transduction [GO:0046580]
Moderate OA (pH 7.8)	Lower	GWK47_054220	185	-0.28	0.11	0.0379	1.42	RAPH1	Ras-associated and pleckstrin y domains-containing protein 1	Q5ZL23	1.51E-75	Amyloid beta A4 precursor protein-binding family B member 1-interacting protein (APBB1-interacting protein 1)	signal transduction [GO:0007165]
Moderate OA (pH 7.8)	Lower	GWK47_022521	1685	-0.28	0.09	0.0245	1.61		Protein numb	P16554	3.97E-133	Protein numb	asymmetric neuroblast division [GO:0055059]; centrosome localization [GO:0051642]; embryonic heart tube development [GO:0035050]; enteroendocrine cell differentiation [GO:0035883]; glial cell migration [GO:0008347]; Malpighian tubule tip cell differentiation [GO:0061382]; muscle cell fate specification [GO:0042694]; negative regulation of gene expression [GO:0010629]; negative regulation of neuroblast proliferation [GO:0007406]; negative regulation of Notch signaling pathway [GO:0045746]; negative regulation of receptor recycling [GO:0001920]; neuroblast development [GO:0014019]; neuroblast proliferation [GO:0007405]; pericardial nephrocyte differentiation [GO:0061320]; positive regulation of endocytosis [GO:0045807]; protein localization [GO:0008104]; regulation of asymmetric cell division [GO:0009786]; regulation of nervous system development [GO:0051960]; regulation of neuroblast proliferation [GO:1902692]; regulation of neurogenesis [GO:0050767]; sensory organ precursor cell division [GO:0045035]; sensory organ precursor cell fate determination [GO:0016360]
Moderate OA (pH 7.8)	Lower	GWK47_017956	758	-0.29	0.11	0.0441	1.36	MAFK	Transcription factor MafK	Q90596	7.96E-31	Transcription factor MafK	regulation of transcription by RNA polymerase II [GO:0006357]
Moderate OA (pH 7.8)	Lower	GWK47_044957	401	-0.29	0.10	0.0304	1.52	MYO18A	Unconventional myosin-XVIIIa	Q92614	2.10E-59	Unconventional myosin-XVIIIa (Molecule associated with JAK3 N-terminus) (MAJN) (Myosin containing a PDZ domain) (Surfactant protein receptor SP-R210) (SP-R210)	actomyosin structure organization [GO:0031032]; asymmetric Golgi ribbon formation [GO:0090164]; cell migration [GO:0016477]; DNA metabolic process [GO:0006259]; Golgi organization [GO:0007030]; Golgi ribbon formation [GO:0090161]; Golgi vesicle budding [GO:0048194]; negative regulation of apoptotic process [GO:0043066]; positive regulation of opsonization [GO:1903028]; positive regulation of protein secretion [GO:0050714]; regulation of macrophage activation [GO:0043030]
Moderate OA (pH 7.8)	Lower	GWK47_052911	1176	-0.30	0.12	0.0432	1.36		hypothetical protein				
Moderate OA (pH 7.8)	Lower	GWK47_009078	178	-0.33	0.11	0.0245	1.61	Ccar1	Cell division cycle and apoptosis regulator protein 1	Q641G3	1.33E-20	Cell division cycle and apoptosis regulator protein 1	regulation of DNA-templated transcription [GO:0006355]; regulation of translation [GO:0006417]
Moderate OA (pH 7.8)	Lower	GWK47_051289	603	-0.33	0.11	0.0203	1.69	heatr5b	HEAT repeat-containing protein 5B	A1A5F2	0	HEAT repeat-containing protein 5B	axis elongation [GO:0003401]; protein transport [GO:0015031]
Moderate OA (pH 7.8)	Lower	GWK47_014872	243	-0.34	0.14	0.0441	1.36	SZT2_4	KICSTOR complex protein SZT2	Q5T011	2.89E-20	KICSTOR complex protein SZT2 (Seizure threshold 2 protein homolog)	cellular response to amino acid starvation [GO:0034198]; cellular response to glucose starvation [GO:0042149]; central nervous system development [GO:0007417]; corpus callosum morphogenesis [GO:0021540]; negative regulation of TORC1 signaling [GO:1904262]; pigmentation [GO:0043473]; post-embryonic development [GO:0009791]; protein localization to lysosome [GO:0061462]; regulation of superoxide dismutase activity [GO:1901668]
Moderate OA (pH 7.8)	Lower	GWK47_037491	1090	-0.34	0.14	0.0432	1.36	A1CF	APOBEC1 complementation factor	Q4R2Z0	7.12E-100	Probable RNA-binding protein 46 (RNA-binding motif protein 46)	cell cycle switching, mitotic to meiotic cell cycle [GO:0051728]; female meiotic nuclear division [GO:0007143]; male meiotic nuclear division [GO:0007140]; oogenesis [GO:0048477]; spermatid differentiation [GO:0048515]; spermatogenesis [GO:0007283]
Moderate OA (pH 7.8)	Lower	GWK47_028897	158	-0.35	0.14	0.0480	1.32	KRP95	Kinesin-II subunit	P46871	5.96E-201	Kinesin-II 95 kDa subunit (KRP-85/95 95 kDa subunit)	microtubule-based movement [GO:0007018]
Moderate OA (pH 7.8)	Lower	GWK47_007480	111	-0.35	0.12	0.0261	1.58	jhdm1db	Lysine-specific demethylase 7B	P0CH95	4.09E-82	Histone lysine demethylase PHF8 (EC 1.14.11.27) (EC 1.14.11.65) (PHD finger protein 8) (zPHF8) ([histone H3]-dimethyl-L-lysine(36) demethylase PHF8) ([histone H3]-dimethyl-L-lysine(9) demethylase PHF8)	brain development [GO:0007420]; chromatin remodeling [GO:0006338]; embryonic viscerocranium morphogenesis [GO:0048703]; G1/S transition of mitotic cell cycle [GO:0000082]; inner ear morphogenesis [GO:0042472]; negative regulation of rDNA heterochromatin formation [GO:0061188]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of transcription by RNA polymerase I [GO:0045943]; posterior lateral line neuromast deposition [GO:0048922]; primitive erythrocyte differentiation [GO:0060319]; regulation of neuron apoptotic process [GO:0043523]; regulation of transcription by RNA polymerase II [GO:0006357]
Moderate OA (pH 7.8)	Lower	GWK47_033620	261	-0.35	0.15	0.0438	1.36	Lats1	Serine/threonine-protein kinase LATS1	O95835	1.55E-211	Serine/threonine-protein kinase LATS1 (EC 2.7.11.1) (Large tumor suppressor homolog 1) (WARTS protein kinase) (h-warts)	cell division [GO:0051301]; G1/S transition of mitotic cell cycle [GO:0000082]; G2/M transition of mitotic cell cycle [GO:0000086]; hippo signaling [GO:0035329]; hormone-mediated signaling pathway [GO:0009755]; inner cell mass cell fate commitment [GO:0001827]; inner cell mass cellular morphogenesis [GO:0001828]; keratinocyte differentiation [GO:0030216]; mammary gland epithelial cell differentiation [GO:0060644]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0045736]; negative regulation of protein localization to nucleus [GO:1900181]; positive regulation of apoptotic process [GO:0043065]; positive regulation of NLRP3 inflammasome complex assembly [GO:1900227]; protein localization [GO:0008104]; protein phosphorylation [GO:0006468]; regulation of actin filament polymerization [GO:0030833]; regulation of intracellular estrogen receptor signaling pathway [GO:0033146]; regulation of organ growth [GO:0046620]; regulation of postsynaptic density assembly [GO:0099151]; regulation of protein-containing complex assembly [GO:0043254]; regulation of transforming growth factor beta receptor signaling pathway [GO:0017015]; regulation of ubiquitin-dependent protein catabolic process [GO:2000058]; sister chromatid segregation [GO:0000819]
Moderate OA (pH 7.8)	Lower	GWK47_028156	201	-0.36	0.13	0.0263	1.58	rhpn2	Rhophilin-2	Q6TNR1	1.46E-31	Rhophilin-2 (GTP-Rho-binding protein 2)	negative regulation of stress fiber assembly [GO:0051497]; signal transduction [GO:0007165]
Moderate OA (pH 7.8)	Lower	GWK47_013836	1265	-0.37	0.13	0.0321	1.49	uzip	Protein unzipped				
Moderate OA (pH 7.8)	Lower	GWK47_018958	1622	-0.37	0.11	0.0138	1.86	Cad87A	Cadherin-87A	Q9VGG5	1.00E-33	Cadherin-87A	calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0016339]; cell adhesion [GO:0007155]; cell-cell adhesion mediated by cadherin [GO:0044331]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]
Moderate OA (pH 7.8)	Lower	GWK47_003032	2168	-0.37	0.14	0.0387	1.41	CycG	Cyclin G	Q95TJ9	1.67E-44	Cyclin G	cell division [GO:0051301]; double-strand break repair [GO:0006302]; epithelium development [GO:0060429]; female meiotic nuclear division [GO:0007143]; G1/S transition of mitotic cell cycle [GO:0000082]; meiotic DNA repair synthesis [GO:0000711]; negative regulation of G1/S transition of mitotic cell cycle [GO:2000134]; negative regulation of Notch signaling pathway [GO:0045746]; positive regulation of growth [GO:0045927]; positive regulation of insulin receptor signaling pathway [GO:0046628]; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051897]
Moderate OA (pH 7.8)	Lower	GWK47_017059	2201	-0.37	0.12	0.0231	1.64	gw	Protein Gawky	Q8SY33	1.25E-54	Protein Gawky	3'-UTR-mediated mRNA destabilization [GO:0061158]; embryonic development via the syncytial blastoderm [GO:0001700]; locomotor rhythm [GO:0045475]; miRNA-mediated gene silencing by inhibition of translation [GO:0035278]; miRNA-mediated post-transcriptional gene silencing [GO:0035195]; mRNA catabolic process [GO:0006402]; negative regulation of gene expression [GO:0010629]; positive regulation of nuclear-transcribed mRNA poly(A) tail shortening [GO:0060213]; regulation of protein localization [GO:0032880]
